№,BOOK ID,AUTHOR(S),BOOK NAME,PUBLISHER,YEAR,ISBN,LANGUAGE(S),GENRE(S),CONDITION (0-5),STATUS,REC CREATION DATE,REC UPDATE DATE,STORAGE CELL,QR LINK,IMAGE LINK
1,TL000000001,Льюис Кэрролл,Алиса в стране чудес,Махаон,2016,,рус,Художественная литература; Детская литература,5,Available,01.12.2025,01.12.2025,IS3,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000001.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000001.jpg
2,TL000000002,Philipp Oswalt; Klaus Overmeyer; Philipp Misselwitz,URBAN CATALYST. The Power of Temporary Use,DOM publishers,2014,,англ,,4,Available,01.12.2025,01.12.2025,IS3,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000002.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000002.jpg
3,TL000000003,Axel Hausberg; Anton Simons,Construction and Design Manual. Architectural Photography,DOM publishers,2012,,англ,Архитектура; Дизайн,4,Available,01.12.2025,01.12.2025,IS3,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000003.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000003.jpg
4,TL000000004,Анна Никольская,КОНДИТЕРСКИЕ ИСТОРИИ. На углу Тополиной и Розмариновой,CLEVER,2015,,рус,Художественная литература; Детская литература; Кулинария,4,Available,01.12.2025,01.12.2025,IS3,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000004.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000004.jpg
5,TL000000005,Светлана Сергеевна Петраудзе (Саликова),ДЕТЯМ ОБ ИСКУССТВЕ. Театр,Искусство XXI век,2016,,рус,Детская литература; Справочники и Энциклопедии,5,Available,01.12.2025,01.12.2025,IS2,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000005.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000005.jpg
6,TL000000006,Хиро Камигаки; IC4DESIGN; Тихиро Маруяма,Детектив Пьер распутывает дело. В поисках похищенного лабиринта,"Манн, Иванов и Фербер",2017,,рус,Детская литература,4,Available,01.12.2025,01.12.2025,IS2,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000006.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000006.jpg
7,TL000000007,Петер Гюс,ХРОНОЛОГИЯ. Путешествие сквозь века: от Большого Взрыва до наших дней,"Манн, Иванов и Фербер",2016,,рус,Детская литература; Справочники и Энциклопедии,5,Available,01.12.2025,01.12.2025,IS2,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000007.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000007.jpg
8,TL000000008,Рейчел Уильямс,АТЛАС ПРИКЛЮЧЕНИЙ,CLEVER,2015,,рус,Детская литература; Справочники и Энциклопедии,5,Available,01.12.2025,01.12.2025,IS2,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000008.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000008.jpg
9,TL000000009,Alain Vircondelet,Balthus and Cats,Flammarion,2013,,англ,,5,Available,01.12.2025,01.12.2025,IS4,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000009.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000009.jpg
10,TL000000010,Петрочук Ольга Константиновна,РИСУНКИ ВИНСЕНТА ВАН ГОГА,Искусство,1974,,рус,Искусство,5,FAO,01.12.2025,01.12.2025,IS4,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000010.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000010.jpg
11,TL000000011,Germano Celant,Roy Lichtenstein. Sculptor,SKIRA,2013,,англ,Искусство; Дизайн,5,Available,01.12.2025,01.12.2025,IS4,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000011.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000011.jpg
12,TL000000012,Евгения Попова; Лилу Рами,Найди и покажи. Профессии,CLEVER,2016,,рус,Детская литература,5,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000012.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000012.jpg
13,TL000000013,Ромен Амьо; Лоик Мэи,Эра динозавров,CLEVER,2016,,рус,Детская литература; Справочники и Энциклопедии,4,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000013.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000013.jpg
14,TL000000014,Павла Ханачкова; Хелена Хараштова,Как отмечают праздники дети по всему миру,CLEVER,2016,,рус,Детская литература; Справочники и Энциклопедии,5,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000014.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000014.jpg
15,TL000000015,Павла Ханачкова; Хелена Хараштова,Как живут дети по всему миру,CLEVER,2016,,рус,Детская литература; Справочники и Энциклопедии,4,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000015.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000015.jpg
